"o3","no2"
16.90625,28.5833333333333
10.8125,25.25
13.8333333333333,21.0833333333333
16.1458333333333,24.75
16.2083333333333,35.1666666666667
15.3055555555556,36.75
13.7319078947368,23.1666666666667
18.3888888888889,25.3333333333333
18.1354166666667,21.9166666666667
16.4666666666667,28.8333333333333
13.4638888888889,29.5166666666667
10.0938888888889,29.8958333333333
17.1458333333333,45
13.2166666666667,31.75
21.7333333333333,26.1666666666667
16.775,33.75
13.7583333333333,48.4166666666667
10.5333333333333,40.5833333333333
11.2333333333333,45
10.5625,21.9166666666667
22.3666666666667,18.8333333333333
25.5333333333333,24.4166666666667
17.775,16.75
21.2916666666667,34
7.89078947368421,46.3333333333333
2.55555555555556,34.5833333333333
10.1611111111111,22.5
14.59375,21.25
15,24
19.725,30
15.6666666666667,41.0833333333333
10.4875,42.3333333333333
7.41666666666667,18.125
18.6166666666667,16.3888888888889
24.7166666666667,20
23.6416666666667,32.7083333333333
18.9065789473684,40.4166666666667
12.1458333333333,21
23.45,13.6666666666667
18.9833333333333,19
17.4166666666667,14.7916666666667
19.9833333333333,11.25
23.7333333333333,16.6392543859649
22.7083333333333,12.3958333333333
21.0416666666667,13.0208333333333
21.9083333333333,18.9583333333333
18.9565779831145,21.1666666666667
19.9275843931002,16.3541666666667
37.2583333333333,18.2087963272533
24.175,23.5416666666667
23.3166666666667,22.7083333333333
17.4375,29
17.1623684210526,39.9166666666667
19.5138888888889,51.5833333333333
22.7083333333333,21.1388888888889
21.8083333333333,16.5625
25.95,36.5
14.3666666666667,35.1061491028841
8.2,16.0833333333333
25.725,19.5
19.6083333333333,23.25
25.5,23.1666666666667
38.9583333333333,32.1666666666667
40.9,63.75
7.525,18.5
22.0083333333333,23.4166666666667
20.825,28.9166666666667
